,0,1,2,3,4,5,6,7,8,9
0,0,0,0.2,0,0,0.8,0,0,0,0
1,0,0,0.2,0,0.4,0.4,0,0,0,0
2,0.17,0,0,0.17,0.17,0.5,0,0,0,0
3,0,0,0.33,0,0,0.67,0,0,0,0
4,0,0.14,0.14,0,0,0.29,0,0.43,0,0
5,0.11,0.11,0.03,0.03,0.08,0,0.03,0.16,0,0.47
6,0,0,0,0.25,0,0.75,0,0,0,0
7,0,0,0,0,0.11,0.56,0,0,0.33,0
8,0,0,0.2,0,0,0.6,0,0,0,0.2
9,0,0,0,0,0,0.74,0.16,0,0.11,0
