,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.54,0.15,0.04,0.23,0.04,0
2,0,0,0,0,0.8,0.2,0,0,0,0
3,0,0,0,0,0,0.25,0.5,0.25,0,0
4,0,0.29,0.03,0,0,0.27,0.02,0.38,0.02,0
5,0,0.09,0.03,0.03,0.28,0.12,0.25,0.13,0.07,0.01
6,0,0,0.04,0.07,0,0.46,0,0.07,0.11,0.25
7,0,0.02,0,0,0.59,0.29,0.04,0,0.06,0
8,0,0,0,0,0.08,0.38,0,0.38,0,0.15
9,0,0,0,0,0,0.4,0.5,0.1,0,0
